Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Aggregate_type,Unit,Energy,Row
2023,Anaerobic digestion,"Textiles, leather, etc",Demand,Final consumption,Industry,value,ktoe,0.0,48
2023,Anaerobic digestion,"Paper, printing, etc",Demand,Final consumption,Industry,value,ktoe,13.99,49
2023,Anaerobic digestion,Other industries,Demand,Final consumption,Industry,value,ktoe,42.79,50
2023,Anaerobic digestion,Construction,Demand,Final consumption,Industry,value,ktoe,0.0,51
2023,Anaerobic digestion,Transport,Demand,Final consumption,Transport,sum,ktoe,69.36,52
2023,Anaerobic digestion,Air,Demand,Final consumption,Transport,value,ktoe,0.0,53
2023,Anaerobic digestion,Rail,Demand,Final consumption,Transport,value,ktoe,0.0,54
2023,Anaerobic digestion,Road,Demand,Final consumption,Transport,value,ktoe,69.36,55
2023,Anaerobic digestion,National navigation,Demand,Final consumption,Transport,value,ktoe,0.0,56
2023,Anaerobic digestion,Pipelines,Demand,Final consumption,Transport,value,ktoe,0.0,57
2023,Anaerobic digestion,Other,Demand,Final consumption,Other final users,sum,ktoe,8.74,58
2023,Anaerobic digestion,Domestic,Demand,Final consumption,Other final users,value,ktoe,0.0,59
2023,Anaerobic digestion,Public administration,Demand,Final consumption,Other final users,value,ktoe,0.0,60
2023,Anaerobic digestion,Commercial,Demand,Final consumption,Other final users,value,ktoe,0.88,61
2023,Anaerobic digestion,Agriculture,Demand,Final consumption,Other final users,value,ktoe,7.86,62
2023,Anaerobic digestion,Miscellaneous,Demand,Final consumption,Other final users,value,ktoe,0.0,63
2023,Anaerobic digestion,Non energy use,Demand,Final consumption,,value,ktoe,0.0,64
2023,Animal biomass,Production,Supply,,,value,ktoe,240.12,6
2023,Animal biomass,Other sources,Supply,,,value,ktoe,0.0,7
2023,Animal biomass,Imports,Supply,,,value,ktoe,0.0,8
2023,Animal biomass,Exports,Supply,,,value,ktoe,0.0,9
2023,Animal biomass,Marine bunkers,Supply,,,value,ktoe,0.0,10
2023,Animal biomass,Stock change,Supply,,,value,ktoe,0.0,11
2023,Animal biomass,Transfers,Supply,,,value,ktoe,0.0,12
2023,Animal biomass,Total supply,Supply,,,sum,ktoe,240.12,13
2023,Animal biomass,Statistical difference,Statistical difference,,,value,ktoe,0.0,14
2023,Animal biomass,Total demand,Demand,,,sum,ktoe,240.12,15
2023,Animal biomass,Transformation,Demand,Transformation,,sum,ktoe,238.56,16
2023,Animal biomass,Electricity generation,Demand,Transformation,,sum,ktoe,238.56,17
2023,Animal biomass,Major power producers,Demand,Transformation,,value,ktoe,213.65,18
2023,Animal biomass,Autogenerators,Demand,Transformation,,value,ktoe,24.91,19
2023,Animal biomass,Heat generation,Demand,Transformation,,value,ktoe,0.0,20
2023,Animal biomass,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,21
2023,Animal biomass,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Animal biomass,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,23
2023,Animal biomass,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,24
2023,Animal biomass,Other,Demand,Transformation,,value,ktoe,0.0,25
2023,Animal biomass,Energy industry use,Demand,Energy industry use,,sum,ktoe,0.0,26
2023,Animal biomass,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,27
2023,Animal biomass,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Animal biomass,Petroleum refineries,Demand,Energy industry use,,value,ktoe,0.0,29
2023,Animal biomass,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,30
2023,Animal biomass,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Animal biomass,Blast furnaces,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Animal biomass,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,33
2023,Animal biomass,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,34
2023,Animal biomass,Other,Demand,Energy industry use,,value,ktoe,0.0,35
2023,Animal biomass,Losses,Demand,,,value,ktoe,0.0,36
2023,Animal biomass,Final consumption,Demand,Final consumption,,sum,ktoe,1.56,37
2023,Animal biomass,Industry,Demand,Final consumption,Industry,sum,ktoe,1.56,38
2023,Animal biomass,Unclassified,Demand,Final consumption,Industry,value,ktoe,0.0,39
2023,Animal biomass,Iron and steel,Demand,Final consumption,Industry,value,ktoe,0.0,40
2023,Animal biomass,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,0.0,41
2023,Animal biomass,Mineral products,Demand,Final consumption,Industry,value,ktoe,0.0,42
2023,Animal biomass,Chemicals,Demand,Final consumption,Industry,value,ktoe,0.0,43
2023,Animal biomass,"Mechanical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,44
2023,Animal biomass,"Electrical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,45
2023,Animal biomass,Vehicles,Demand,Final consumption,Industry,value,ktoe,0.0,46
2023,Animal biomass,"Food, beverages, etc",Demand,Final consumption,Industry,value,ktoe,1.56,47
2023,Animal biomass,"Textiles, leather, etc",Demand,Final consumption,Industry,value,ktoe,0.0,48
2023,Animal biomass,"Paper, printing, etc",Demand,Final consumption,Industry,value,ktoe,0.0,49
2023,Animal biomass,Other industries,Demand,Final consumption,Industry,value,ktoe,0.0,50
2023,Animal biomass,Construction,Demand,Final consumption,Industry,value,ktoe,0.0,51
2023,Animal biomass,Transport,Demand,Final consumption,Transport,sum,ktoe,0.0,52
2023,Animal biomass,Air,Demand,Final consumption,Transport,value,ktoe,0.0,53
2023,Animal biomass,Rail,Demand,Final consumption,Transport,value,ktoe,0.0,54
2023,Animal biomass,Road,Demand,Final consumption,Transport,value,ktoe,0.0,55
2023,Animal biomass,National navigation,Demand,Final consumption,Transport,value,ktoe,0.0,56
2023,Animal biomass,Pipelines,Demand,Final consumption,Transport,value,ktoe,0.0,57
2023,Animal biomass,Other,Demand,Final consumption,Other final users,sum,ktoe,0.0,58
2023,Animal biomass,Domestic,Demand,Final consumption,Other final users,value,ktoe,0.0,59
2023,Animal biomass,Public administration,Demand,Final consumption,Other final users,value,ktoe,0.0,60
2023,Animal biomass,Commercial,Demand,Final consumption,Other final users,value,ktoe,0.0,61
2023,Animal biomass,Agriculture,Demand,Final consumption,Other final users,value,ktoe,0.0,62
2023,Animal biomass,Miscellaneous,Demand,Final consumption,Other final users,value,ktoe,0.0,63
2023,Animal biomass,Non energy use,Demand,Final consumption,,value,ktoe,0.0,64
2023,Heat pumps,Production,Supply,,,value,ktoe,1228.77,6
2023,Heat pumps,Other sources,Supply,,,value,ktoe,0.0,7
2023,Heat pumps,Imports,Supply,,,value,ktoe,0.0,8
2023,Heat pumps,Exports,Supply,,,value,ktoe,0.0,9
2023,Heat pumps,Marine bunkers,Supply,,,value,ktoe,0.0,10
2023,Heat pumps,Stock change,Supply,,,value,ktoe,0.0,11
2023,Heat pumps,Transfers,Supply,,,value,ktoe,0.0,12
2023,Heat pumps,Total supply,Supply,,,sum,ktoe,1228.77,13
2023,Heat pumps,Statistical difference,Statistical difference,,,value,ktoe,0.0,14
2023,Heat pumps,Total demand,Demand,,,sum,ktoe,1228.77,15
2023,Heat pumps,Transformation,Demand,Transformation,,sum,ktoe,0.0,16
2023,Heat pumps,Electricity generation,Demand,Transformation,,sum,ktoe,0.0,17
2023,Heat pumps,Major power producers,Demand,Transformation,,value,ktoe,0.0,18
2023,Heat pumps,Autogenerators,Demand,Transformation,,value,ktoe,0.0,19
2023,Heat pumps,Heat generation,Demand,Transformation,,value,ktoe,0.0,20
2023,Heat pumps,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,21
2023,Heat pumps,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Heat pumps,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,23
2023,Heat pumps,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,24
2023,Heat pumps,Other,Demand,Transformation,,value,ktoe,0.0,25
2023,Heat pumps,Energy industry use,Demand,Energy industry use,,sum,ktoe,0.0,26
2023,Heat pumps,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,27
2023,Heat pumps,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Heat pumps,Petroleum refineries,Demand,Energy industry use,,value,ktoe,0.0,29
2023,Heat pumps,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,30
2023,Heat pumps,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Heat pumps,Blast furnaces,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Heat pumps,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,33
2023,Heat pumps,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,34
2023,Heat pumps,Other,Demand,Energy industry use,,value,ktoe,0.0,35
2023,Heat pumps,Losses,Demand,,,value,ktoe,0.0,36
2023,Heat pumps,Final consumption,Demand,Final consumption,,sum,ktoe,1228.77,37
2023,Heat pumps,Industry,Demand,Final consumption,Industry,sum,ktoe,3.45,38
2023,Heat pumps,Unclassified,Demand,Final consumption,Industry,value,ktoe,3.45,39
2023,Heat pumps,Iron and steel,Demand,Final consumption,Industry,value,ktoe,0.0,40
2023,Heat pumps,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,0.0,41
2023,Heat pumps,Mineral products,Demand,Final consumption,Industry,value,ktoe,0.0,42
2023,Heat pumps,Chemicals,Demand,Final consumption,Industry,value,ktoe,0.0,43
2023,Heat pumps,"Mechanical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,44
2023,Heat pumps,"Electrical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,45
2023,Heat pumps,Vehicles,Demand,Final consumption,Industry,value,ktoe,0.0,46
2023,Heat pumps,"Food, beverages, etc",Demand,Final consumption,Industry,value,ktoe,0.0,47
2023,Heat pumps,"Textiles, leather, etc",Demand,Final consumption,Industry,value,ktoe,0.0,48
2023,Heat pumps,"Paper, printing, etc",Demand,Final consumption,Industry,value,ktoe,0.0,49
2023,Heat pumps,Other industries,Demand,Final consumption,Industry,value,ktoe,0.0,50
2023,Heat pumps,Construction,Demand,Final consumption,Industry,value,ktoe,0.0,51
2023,Heat pumps,Transport,Demand,Final consumption,Transport,sum,ktoe,0.0,52
2023,Heat pumps,Air,Demand,Final consumption,Transport,value,ktoe,0.0,53
2023,Heat pumps,Rail,Demand,Final consumption,Transport,value,ktoe,0.0,54
2023,Heat pumps,Road,Demand,Final consumption,Transport,value,ktoe,0.0,55
2023,Heat pumps,National navigation,Demand,Final consumption,Transport,value,ktoe,0.0,56
2023,Heat pumps,Pipelines,Demand,Final consumption,Transport,value,ktoe,0.0,57
2023,Heat pumps,Other,Demand,Final consumption,Other final users,sum,ktoe,1225.32,58
2023,Heat pumps,Domestic,Demand,Final consumption,Other final users,value,ktoe,243.23,59
2023,Heat pumps,Public administration,Demand,Final consumption,Other final users,value,ktoe,0.0,60
2023,Heat pumps,Commercial,Demand,Final consumption,Other final users,value,ktoe,982.09,61
2023,Heat pumps,Agriculture,Demand,Final consumption,Other final users,value,ktoe,0.0,62
2023,Heat pumps,Miscellaneous,Demand,Final consumption,Other final users,value,ktoe,0.0,63
2023,Heat pumps,Non energy use,Demand,Final consumption,,value,ktoe,0.0,64
2023,Hydro,Production,Supply,,,value,ktoe,476.14,6
2023,Hydro,Other sources,Supply,,,value,ktoe,0.0,7
2023,Hydro,Imports,Supply,,,value,ktoe,0.0,8
2023,Hydro,Exports,Supply,,,value,ktoe,0.0,9
2023,Hydro,Marine bunkers,Supply,,,value,ktoe,0.0,10
2023,Hydro,Stock change,Supply,,,value,ktoe,0.0,11
2023,Hydro,Transfers,Supply,,,value,ktoe,0.0,12
2023,Hydro,Total supply,Supply,,,sum,ktoe,476.14,13
2023,Hydro,Statistical difference,Statistical difference,,,value,ktoe,0.0,14
2023,Hydro,Total demand,Demand,,,sum,ktoe,476.14,15
2023,Hydro,Transformation,Demand,Transformation,,sum,ktoe,476.14,16
2023,Hydro,Electricity generation,Demand,Transformation,,sum,ktoe,476.14,17
2023,Hydro,Major power producers,Demand,Transformation,,value,ktoe,327.8,18
2023,Hydro,Autogenerators,Demand,Transformation,,value,ktoe,148.34,19
2023,Hydro,Heat generation,Demand,Transformation,,value,ktoe,0.0,20
2023,Hydro,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,21
2023,Hydro,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Hydro,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,23
2023,Hydro,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,24
2023,Hydro,Other,Demand,Transformation,,value,ktoe,0.0,25
2023,Hydro,Energy industry use,Demand,Energy industry use,,sum,ktoe,0.0,26
2023,Hydro,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,27
2023,Hydro,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Hydro,Petroleum refineries,Demand,Energy industry use,,value,ktoe,0.0,29
2023,Hydro,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,30
2023,Hydro,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Hydro,Blast furnaces,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Hydro,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,33
2023,Hydro,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,34
2023,Hydro,Other,Demand,Energy industry use,,value,ktoe,0.0,35
2023,Hydro,Losses,Demand,,,value,ktoe,0.0,36
2023,Hydro,Final consumption,Demand,Final consumption,,sum,ktoe,0.0,37
2023,Hydro,Industry,Demand,Final consumption,Industry,sum,ktoe,0.0,38
2023,Hydro,Unclassified,Demand,Final consumption,Industry,value,ktoe,0.0,39
2023,Hydro,Iron and steel,Demand,Final consumption,Industry,value,ktoe,0.0,40
2023,Hydro,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,0.0,41
2023,Hydro,Mineral products,Demand,Final consumption,Industry,value,ktoe,0.0,42
2023,Hydro,Chemicals,Demand,Final consumption,Industry,value,ktoe,0.0,43
2023,Hydro,"Mechanical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,44
2023,Hydro,"Electrical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,45
2023,Hydro,Vehicles,Demand,Final consumption,Industry,value,ktoe,0.0,46
2023,Hydro,"Food, beverages, etc",Demand,Final consumption,Industry,value,ktoe,0.0,47
2023,Hydro,"Textiles, leather, etc",Demand,Final consumption,Industry,value,ktoe,0.0,48
2023,Hydro,"Paper, printing, etc",Demand,Final consumption,Industry,value,ktoe,0.0,49
2023,Hydro,Other industries,Demand,Final consumption,Industry,value,ktoe,0.0,50
2023,Hydro,Construction,Demand,Final consumption,Industry,value,ktoe,0.0,51
2023,Hydro,Transport,Demand,Final consumption,Transport,sum,ktoe,0.0,52
2023,Hydro,Air,Demand,Final consumption,Transport,value,ktoe,0.0,53
2023,Hydro,Rail,Demand,Final consumption,Transport,value,ktoe,0.0,54
2023,Hydro,Road,Demand,Final consumption,Transport,value,ktoe,0.0,55
2023,Hydro,National navigation,Demand,Final consumption,Transport,value,ktoe,0.0,56
2023,Hydro,Pipelines,Demand,Final consumption,Transport,value,ktoe,0.0,57
2023,Hydro,Other,Demand,Final consumption,Other final users,sum,ktoe,0.0,58
2023,Hydro,Domestic,Demand,Final consumption,Other final users,value,ktoe,0.0,59
2023,Hydro,Public administration,Demand,Final consumption,Other final users,value,ktoe,0.0,60
2023,Hydro,Commercial,Demand,Final consumption,Other final users,value,ktoe,0.0,61
2023,Hydro,Agriculture,Demand,Final consumption,Other final users,value,ktoe,0.0,62
2023,Hydro,Miscellaneous,Demand,Final consumption,Other final users,value,ktoe,0.0,63
2023,Hydro,Non energy use,Demand,Final consumption,,value,ktoe,0.0,64
2023,Landfill gas,Production,Supply,,,value,ktoe,763.61,6
2023,Landfill gas,Other sources,Supply,,,value,ktoe,0.0,7
2023,Landfill gas,Imports,Supply,,,value,ktoe,0.0,8
2023,Landfill gas,Exports,Supply,,,value,ktoe,0.0,9
2023,Landfill gas,Marine bunkers,Supply,,,value,ktoe,0.0,10
2023,Landfill gas,Stock change,Supply,,,value,ktoe,0.0,11
2023,Landfill gas,Transfers,Supply,,,value,ktoe,0.0,12
2023,Landfill gas,Total supply,Supply,,,sum,ktoe,763.61,13
2023,Landfill gas,Statistical difference,Statistical difference,,,value,ktoe,0.0,14
2023,Landfill gas,Total demand,Demand,,,sum,ktoe,763.61,15
2023,Landfill gas,Transformation,Demand,Transformation,,sum,ktoe,715.1,16
2023,Landfill gas,Electricity generation,Demand,Transformation,,sum,ktoe,715.1,17
2023,Landfill gas,Major power producers,Demand,Transformation,,value,ktoe,0.0,18
2023,Landfill gas,Autogenerators,Demand,Transformation,,value,ktoe,715.1,19
2023,Landfill gas,Heat generation,Demand,Transformation,,value,ktoe,0.0,20
2023,Landfill gas,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,21
2023,Landfill gas,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Landfill gas,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,23
2023,Landfill gas,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,24
2023,Landfill gas,Other,Demand,Transformation,,value,ktoe,0.0,25
2023,Landfill gas,Energy industry use,Demand,Energy industry use,,sum,ktoe,0.0,26
2023,Landfill gas,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,27
2023,Landfill gas,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Landfill gas,Petroleum refineries,Demand,Energy industry use,,value,ktoe,0.0,29
2023,Landfill gas,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,30
2023,Landfill gas,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Landfill gas,Blast furnaces,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Landfill gas,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,33
2023,Landfill gas,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,34
2023,Landfill gas,Other,Demand,Energy industry use,,value,ktoe,0.0,35
2023,Landfill gas,Losses,Demand,,,value,ktoe,0.0,36
2023,Landfill gas,Final consumption,Demand,Final consumption,,sum,ktoe,48.51,37
2023,Landfill gas,Industry,Demand,Final consumption,Industry,sum,ktoe,13.58,38
2023,Landfill gas,Unclassified,Demand,Final consumption,Industry,value,ktoe,13.58,39
2023,Landfill gas,Iron and steel,Demand,Final consumption,Industry,value,ktoe,0.0,40
2023,Landfill gas,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,0.0,41
2023,Landfill gas,Mineral products,Demand,Final consumption,Industry,value,ktoe,0.0,42
2023,Landfill gas,Chemicals,Demand,Final consumption,Industry,value,ktoe,0.0,43
2023,Landfill gas,"Mechanical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,44
2023,Landfill gas,"Electrical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,45
2023,Landfill gas,Vehicles,Demand,Final consumption,Industry,value,ktoe,0.0,46
2023,Landfill gas,"Food, beverages, etc",Demand,Final consumption,Industry,value,ktoe,0.0,47
2023,Landfill gas,"Textiles, leather, etc",Demand,Final consumption,Industry,value,ktoe,0.0,48
2023,Landfill gas,"Paper, printing, etc",Demand,Final consumption,Industry,value,ktoe,0.0,49
2023,Landfill gas,Other industries,Demand,Final consumption,Industry,value,ktoe,0.0,50
2023,Landfill gas,Construction,Demand,Final consumption,Industry,value,ktoe,0.0,51
2023,Landfill gas,Transport,Demand,Final consumption,Transport,sum,ktoe,34.93,52
2023,Landfill gas,Air,Demand,Final consumption,Transport,value,ktoe,0.0,53
2023,Landfill gas,Rail,Demand,Final consumption,Transport,value,ktoe,0.0,54
2023,Landfill gas,Road,Demand,Final consumption,Transport,value,ktoe,34.93,55
2023,Landfill gas,National navigation,Demand,Final consumption,Transport,value,ktoe,0.0,56
2023,Landfill gas,Pipelines,Demand,Final consumption,Transport,value,ktoe,0.0,57
2023,Landfill gas,Other,Demand,Final consumption,Other final users,sum,ktoe,0.0,58
2023,Landfill gas,Domestic,Demand,Final consumption,Other final users,value,ktoe,0.0,59
2023,Landfill gas,Public administration,Demand,Final consumption,Other final users,value,ktoe,0.0,60
2023,Landfill gas,Commercial,Demand,Final consumption,Other final users,value,ktoe,0.0,61
2023,Landfill gas,Agriculture,Demand,Final consumption,Other final users,value,ktoe,0.0,62
2023,Landfill gas,Miscellaneous,Demand,Final consumption,Other final users,value,ktoe,0.0,63
2023,Landfill gas,Non energy use,Demand,Final consumption,,value,ktoe,0.0,64
2023,Liquid biofuels,Production,Supply,,,value,ktoe,823.28,6
2023,Liquid biofuels,Other sources,Supply,,,value,ktoe,0.0,7
2023,Liquid biofuels,Imports,Supply,,,value,ktoe,2317.99,8
2023,Liquid biofuels,Exports,Supply,,,value,ktoe,-494.73,9
2023,Liquid biofuels,Marine bunkers,Supply,,,value,ktoe,0.0,10
2023,Liquid biofuels,Stock change,Supply,,,value,ktoe,-10.96,11
2023,Liquid biofuels,Transfers,Supply,,,value,ktoe,0.0,12
2023,Liquid biofuels,Total supply,Supply,,,sum,ktoe,2635.58,13
2023,Liquid biofuels,Statistical difference,Statistical difference,,,value,ktoe,0.0,14
2023,Liquid biofuels,Total demand,Demand,,,sum,ktoe,2635.58,15
2023,Liquid biofuels,Transformation,Demand,Transformation,,sum,ktoe,26.23,16
2023,Liquid biofuels,Electricity generation,Demand,Transformation,,sum,ktoe,26.23,17
2023,Liquid biofuels,Major power producers,Demand,Transformation,,value,ktoe,0.0,18
2023,Liquid biofuels,Autogenerators,Demand,Transformation,,value,ktoe,26.23,19
2023,Liquid biofuels,Heat generation,Demand,Transformation,,value,ktoe,0.0,20
2023,Liquid biofuels,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,21
2023,Liquid biofuels,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Liquid biofuels,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,23
2023,Liquid biofuels,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,24
2023,Liquid biofuels,Other,Demand,Transformation,,value,ktoe,0.0,25
2023,Liquid biofuels,Energy industry use,Demand,Energy industry use,,sum,ktoe,0.0,26
2023,Liquid biofuels,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,27
2023,Liquid biofuels,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Liquid biofuels,Petroleum refineries,Demand,Energy industry use,,value,ktoe,0.0,29
2023,Liquid biofuels,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,30
2023,Liquid biofuels,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Liquid biofuels,Blast furnaces,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Liquid biofuels,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,33
2023,Liquid biofuels,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,34
2023,Liquid biofuels,Other,Demand,Energy industry use,,value,ktoe,0.0,35
2023,Liquid biofuels,Losses,Demand,,,value,ktoe,0.0,36
2023,Liquid biofuels,Final consumption,Demand,Final consumption,,sum,ktoe,2609.35,37
2023,Liquid biofuels,Industry,Demand,Final consumption,Industry,sum,ktoe,0.0,38
2023,Liquid biofuels,Unclassified,Demand,Final consumption,Industry,value,ktoe,0.0,39
2023,Liquid biofuels,Iron and steel,Demand,Final consumption,Industry,value,ktoe,0.0,40
2023,Liquid biofuels,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,0.0,41
2023,Liquid biofuels,Mineral products,Demand,Final consumption,Industry,value,ktoe,0.0,42
2023,Liquid biofuels,Chemicals,Demand,Final consumption,Industry,value,ktoe,0.0,43
2023,Liquid biofuels,"Mechanical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,44
